,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50
sample 1,0.12360763734620872,0.041717735929833896,0.002987741642871029,0.05554352640623398,0.03543921121797903,0.06962242500928759,0.06629768379437863,0.04276952308296071,0.04904144816211897,0.004444372767789617,0.0940412864711216,0.04410281441301127,0.0037989282923001845,0.0004710366694157806,0.0,0.02914198090485589,0.0021021437401171853,0.01645918853511331,0.038252300604146104,0.010107168874368059,0.06950778093186973,0.01026165801808404,0.004362218978938944,0.011895670883427264,0.015388688109249352,0.009855108426866563,0.01525303909192096,0.0,0.0023292604210341725,0.006708554302033132,0.000553930601409977,0.003172674809927152,0.030578274423770896,0.007376812147053927,0.0025317764921688004,0.008269183824412477,0.019364646964606613,0.0,0.011680545101820098,0.020865539476331678,0.005319851330595924,0.02704134093064604,0.005120033101581559,0.006803806670546968,0.002775927463444803,0.0007601968388607368,0.0015486566058201627,0.0,0.0,0.0031017963831059406
sample 2,0.10186005600176465,0.06400784160168768,0.010897661988554854,0.05361964460924029,0.03209150166158829,0.05751234044989323,0.02799766636289798,0.03549232654882547,0.05337889193236765,0.010791241241332915,0.09683176946001934,0.03477934559721958,0.003576286985457248,0.001302423337789901,0.0015587717426594093,0.04534993902829339,0.008960847592252361,0.023156240634156475,0.027058940507561666,0.019088963750281497,0.038693556628516285,0.00845785737002152,0.006794147684808876,0.02698365019921436,0.03741114507721645,0.017505769796569252,0.013869838065566912,7.265320055959726e-05,0.004108161494638995,0.0023491350288453376,0.0007594363561992144,0.006647018526402909,0.032872497276258385,0.011380160064688642,0.004797575511811864,0.01639185448776006,0.018068644466821836,0.0,0.008098665326590435,0.012950439448275683,0.014013605665486897,0.004461475991820054,0.00813533601607663,0.013376274643923321,0.002827746701221418,0.001352946623073183,0.001930932372740006,0.0007399242863265321,0.0017961085537400623,0.003420152319470747
sample 3,0.0856436024911332,0.032724126278513614,0.005345435185077008,0.041347344335997877,0.02786267283490699,0.07815360783423068,0.04176810656658859,0.057315257885454156,0.03448547058301446,0.024022645224437287,0.07813203309540998,0.06934780546931443,0.0036241168674970257,0.0029384016583290096,0.0,0.03364359435941611,0.01796775634014146,0.027500579980031567,0.022048986885851017,0.00817904126107623,0.03088862356867583,0.008712484320351122,0.005305262874239317,0.01631434699209753,0.02069234911046765,0.010028791909895004,0.019875984431131734,0.00028348960009241765,0.005252615829046383,0.0072987322632905695,0.01553764175661668,0.02131028764609869,0.03558745471374193,0.011661448066656064,0.015128231717771622,0.0100220168508155,0.00973112304107801,0.0,0.010528871206349974,0.017135464640559657,0.013477578024350274,0.005807110573469011,0.013847754426647372,0.0024666871266682427,0.011559142506840089,9.526629939230383e-05,0.0022615824164867395,0.002191629807112787,0.002429431729838063,0.004857370456313177
sample 4,0.07640214722314398,0.02811943871804419,0.002702866977432467,0.032372146138166226,0.018088731893816413,0.08837020725443673,0.06444740545846099,0.06823211774203618,0.042476432665724186,0.012531559391446059,0.09537682316862423,0.11748336829081703,0.0010571537501498137,0.00022432661650953744,0.0,0.023132097331726553,0.005102592905659636,0.01991205590634328,0.022934443214276266,0.007752189471963061,0.0371975833135374,0.006398954353961735,0.00382318474055448,0.009810810235278335,0.008131740989802584,0.014482353219349844,0.01864312595293603,0.0,0.002659695676459,0.00670196610597938,0.00226861530851841,0.014488603893960393,0.05104987891979995,0.016511575434334368,0.0026857149255576597,0.01641072679605617,0.007818263808926916,0.0,0.0031925208191001778,0.02041554736477878,0.00899976060771362,0.008647882557988663,0.01072085485715668,0.001348948890143622,0.016380700227773055,0.0,0.0017329904270619286,0.0015678843802109752,0.001778704137394272,0.004320794661449708
sample 5,0.1146210335269797,0.049824916254825484,0.01189018970575685,0.08019236784701325,0.022154036144214486,0.06412078649671837,0.0005302727560270377,0.044384103149382584,0.007397612602601142,0.012464682783751183,0.04052649614291478,0.002656437255359859,0.0017987177572881638,0.00011441601870796856,0.025261200479654383,0.049503798941825966,0.06060320901316872,0.006162504010034936,0.0004504961114218628,0.023009302102974995,0.0099093709052245,0.032875208619461534,0.026971922519640357,0.024308790716372205,0.010551768184607612,0.009476558004022171,0.0010529640868218026,0.015593158878789594,0.056621852164670146,0.0018447177439131859,0.007933747680493127,0.0013429212016918077,0.005725168616854423,0.00820139486653981,0.0034165075532778632,0.009290803656986344,0.019152704694096877,0.009944324304899896,0.0011335012250225122,0.0,0.014328914044826708,3.17329277780772e-05,0.05653628823314957,0.01211617248192459,0.0028148456198402684,0.012424653470623668,0.015107824233231927,0.017601252451828954,0.017663702324730676,0.002457671276029162
sample 6,0.08567492185772116,0.06110908499528618,0.01630809690992406,0.06412041822498794,0.03087989687615792,0.09431726664182272,0.008810531399400537,0.057833336226086454,0.0063929755061841766,0.004987419829608863,0.03677388959969566,0.005672372874678298,0.0030486585938475567,0.0,0.02613886283454114,0.06655918690501314,0.022658611943931487,0.01657099343086092,0.0015094077028980637,0.018376734301245055,0.010538274896114662,0.023410277589727652,0.019249781883754508,0.040247622123149626,0.01215398505019671,0.007726027276327574,0.001515933933527654,0.019636893854279264,0.042548059313923296,0.0018487192199767438,0.003276167590748455,0.007798903349825622,0.006135886729448862,0.014731622074393113,0.007015387419754746,0.012683285283035748,0.016659986903832476,0.01188533455005473,0.0025450931629340317,0.001997152241829508,0.009280364895400258,0.002077546511697961,0.041587025424109844,0.017134556878113497,0.0019151019970135024,0.012987223591967599,0.020302000732876208,0.014104104829961094,0.01024603014575569,0.0032668861788911065
sample 7,0.10108948452697114,0.05312130978919838,0.01823067449627173,0.08359387936232908,0.028232893751440877,0.07721941474991088,0.005774284958877377,0.041604491806288973,0.009475356507806364,0.005830348107403794,0.04211982495197499,0.005236261050015317,0.004062072469296446,0.0029736910817900826,0.022075154954795798,0.0761229050681883,0.03311542897235915,0.012856112844629312,0.0025477890330653217,0.022662237889554973,0.011219035903333435,0.021142217048178064,0.01678992695150831,0.040119015885407096,0.009808237460721184,0.01113840552224413,0.0015111830832285776,0.014432883315927937,0.04938324174893799,0.0015698790507362858,0.0029924245150332856,0.0055106302729720546,0.00769402012745595,0.01666624110226517,0.006208345672645674,0.01790281650279437,0.015838676664850927,0.004420461196008776,0.004107877356344899,0.0012660460761293971,0.011278374489396682,0.0014987818012779338,0.04125268251981166,0.014119473126748765,0.002276038804201977,0.007614013006876815,0.01386609391320551,0.00962892198581344,0.010880913963876464,0.003294819265337297
sample 8,0.08451246964307335,0.0317717390739508,0.004579075950116088,0.04304974975971157,0.04113770419817004,0.07376144596576717,0.024942985455832872,0.0529578637947014,0.03160879942171963,0.014845131050493586,0.0680782064671211,0.027740881819761982,0.012622156605916177,0.005041996124322852,0.0032151946291551674,0.02914145790987928,0.02798362659562417,0.008619301200103258,0.019557099358732163,0.01307906641289734,0.021777904139248676,0.009768306747709368,0.007015304171168769,0.01146471737572846,0.02193896034757481,0.018178563767321215,0.0057994145476015484,0.0010589935301566751,0.016098619916635415,0.04268002078497434,0.02791184596097403,0.010063149638849585,0.03303093968021322,0.022671682103475574,0.003228107410513801,0.009354445448585366,0.01508686764045894,1.4748427480420913e-05,0.008775119761919713,0.015504879997980382,0.014046731367604795,0.021407382603605463,0.021494992904738823,0.00932383849254909,0.01042781255204683,0.006287311290434639,0.0036744415539698384,0.004480900535938217,0.004098837615755536,0.003676760196768422
sample 9,0.069132364216822,0.05103126442530515,0.0016797474194807402,0.0390757539851642,0.0676573407611635,0.06818560841825214,0.02171831908519193,0.05438811149113011,0.029983957243695673,0.03130496645184253,0.07775426544448659,0.024076310588812756,0.007805052805261251,0.0008231609545279463,0.002717696828961581,0.02414595608336769,0.04164796243583391,0.033243080475912734,0.023632966898521946,0.006864475521053369,0.01904689359895974,0.008885252817977229,0.008952436795645878,0.01714461594627,0.031875212983435854,0.011354330924439153,0.004778594095152649,0.0,0.01962829999385344,0.03589144388791456,0.04322131171991167,0.021891266264401,0.017197315108211417,0.011709067124804334,0.0013443418665947953,0.007712931486114014,0.0074530460218147935,0.0,0.0030571855320050906,0.006877057336192441,0.008716341503485481,0.005455377869586138,0.02319692458830924,0.0028702703665876273,0.015771831890600305,0.00043525747538111293,0.002065345661813651,0.003962756265077842,0.0046274791415924395,0.0029721314472843717
sample 10,0.07513966146764577,0.05517197360479492,0.0026050576414935796,0.0373323886994395,0.06254143409606688,0.08469405116062192,0.028479263815705005,0.05796037707980166,0.05321377621904567,0.008422971802861319,0.07142071966081429,0.031048107995417663,0.033355824649415736,0.014144714641422605,0.0,0.05548346686135338,0.0030026961528782405,0.010708502668487066,0.03408364794120624,0.007630965855946607,0.0167476843529741,0.0059082147282846905,0.004480491592051277,0.037612645848539586,0.021611260925325865,0.008807820272286803,0.006231458510804056,0.0,0.002264822480132441,0.00893244350621648,0.030257770595489657,0.005016071452020937,0.026440635608015243,0.01321423498026135,0.02099449840241959,0.012719762862937942,0.00830887936546418,0.0,0.007145628907329493,0.010019330142436266,0.016690065026792624,0.0046754891123740785,0.006010686898691744,0.0033437224013858798,0.005811997220025187,0.0,0.0021264973202647325,0.0,0.0,0.010585718264973589
