,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50
sample 1,502,133,0,107,61,235,262,57,102,0,369,87,0,0,0,73,0,28,94,0,158,0,0,0,20,0,18,0,0,13,0,0,40,7,0,0,18,0,23,24,0,48,0,17,0,0,0,0,0,0
sample 2,516,315,26,138,65,235,112,67,157,21,546,122,0,0,0,212,27,72,76,45,91,0,0,22,134,28,30,0,0,0,0,0,73,17,0,29,31,0,22,33,35,0,18,42,0,0,0,0,5,0
sample 3,369,99,14,78,52,294,133,124,64,64,347,252,0,10,0,101,66,79,58,0,42,0,0,20,55,0,42,0,0,11,49,58,75,25,42,0,0,0,27,32,29,0,44,0,11,0,3,0,0,0
sample 4,297,97,0,61,0,342,201,150,85,19,433,448,0,0,0,43,11,60,54,0,52,0,0,10,0,17,22,0,0,17,0,26,116,42,0,30,0,0,0,31,0,0,31,0,28,0,0,0,0,4
sample 5,521,191,31,203,50,206,0,91,0,25,141,0,0,0,58,152,216,0,0,50,0,79,45,26,13,0,0,47,169,0,28,0,0,0,0,6,16,14,0,0,39,0,229,27,0,32,31,9,16,0
sample 6,402,319,58,172,100,434,59,116,0,0,150,0,0,0,87,265,57,51,0,32,0,74,36,69,0,0,0,66,153,0,14,32,0,27,8,14,27,26,0,0,27,0,189,46,0,35,57,13,4,0
sample 7,1241,610,163,637,214,829,85,134,18,0,450,8,0,37,141,794,293,89,18,132,0,142,61,171,0,27,0,132,465,0,31,48,9,102,0,98,31,0,22,0,75,0,423,91,11,35,87,0,29,0
sample 8,391,91,0,96,128,300,88,120,67,31,320,83,41,0,0,87,117,0,55,26,24,0,0,10,75,34,0,0,44,154,93,21,86,67,0,0,20,0,24,28,38,61,80,32,21,21,7,2,0,0
sample 9,125,100,0,55,117,133,47,65,12,39,207,25,0,0,0,22,86,39,40,0,0,0,0,10,45,0,0,0,26,57,74,36,0,11,0,0,0,0,0,0,0,0,41,0,15,0,0,0,0,0
sample 10,139,104,0,20,95,147,49,57,71,0,131,42,55,0,0,97,0,0,45,0,0,0,0,30,16,0,0,0,0,0,56,0,25,13,25,0,0,0,9,9,23,0,0,0,0,0,0,0,0,7
sample 11,225,157,0,12,0,437,0,98,105,22,236,45,0,18,0,53,22,0,80,0,0,0,0,25,35,32,0,0,76,0,0,27,0,37,0,75,0,0,22,0,49,0,0,0,11,0,0,0,0,11
sample 12,334,313,0,93,0,452,58,163,121,34,404,191,42,53,39,130,0,0,54,0,0,0,24,56,118,35,0,12,96,0,49,44,28,28,0,123,0,0,15,0,53,25,82,20,24,0,0,0,5,0
sample 13,264,179,0,152,0,507,49,169,147,38,445,261,18,48,0,138,60,0,70,0,0,10,30,30,72,61,0,0,104,0,48,41,40,28,0,103,0,0,0,0,92,9,51,21,7,0,2,0,0,9
sample 14,497,255,57,209,80,1128,68,289,47,12,362,40,58,0,79,360,90,72,0,50,23,62,35,43,16,0,0,0,227,0,38,0,0,51,0,20,0,52,11,0,0,0,216,80,0,30,19,20,10,9
sample 15,155,28,0,89,0,189,0,53,0,3,54,7,42,0,48,108,21,0,0,0,0,35,0,16,0,0,0,0,56,0,0,0,0,13,0,6,0,23,0,0,0,0,46,0,0,0,0,0,0,0
sample 16,413,150,29,81,25,340,0,136,36,36,214,43,14,0,50,107,198,33,12,46,0,35,48,14,14,24,0,0,176,0,15,0,29,22,0,0,0,30,0,0,29,0,232,0,13,0,0,12,27,0
sample 17,434,108,0,229,0,525,0,173,0,38,194,41,6,0,65,107,294,17,0,44,14,75,43,0,0,0,0,0,225,14,42,0,0,22,0,10,0,20,0,0,29,0,294,0,14,12,0,19,33,0
sample 18,551,189,0,322,58,497,68,524,21,35,239,31,0,0,52,242,136,22,0,42,12,272,53,10,15,0,0,0,212,11,20,0,0,9,0,0,38,25,0,0,41,0,226,30,28,20,9,34,3,0
